Id,LotFrontage,LotArea,LotShape,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,PoolArea,Fence,SaleType,SaleCondition,SalePrice
12,85,11924,IR1,2Story,9,5,2005,2006,286,1175,Y,1182,1142,2324,1,3,0,4,1,Ex,Typ,2,BuiltIn,3,TA,147,21,0,NA,New,Partial,345000
13,NA,12968,IR2,1Story,5,6,1962,1962,0,912,Y,912,0,912,1,1,0,2,1,TA,Typ,0,Detchd,1,TA,140,0,0,NA,WD,Normal,144000
14,91,10652,IR1,1Story,7,5,2006,2007,306,1494,Y,1494,0,1494,0,2,0,3,1,Gd,Typ,1,Attchd,3,TA,160,33,0,NA,New,Partial,279500
15,NA,10920,IR1,1Story,6,5,1960,1960,212,1253,Y,1253,0,1253,1,1,1,2,1,TA,Typ,1,Attchd,1,TA,0,213,0,GdWo,WD,Normal,157000
16,51,6120,Reg,1.5Unf,7,8,1929,2001,0,832,Y,854,0,854,0,1,0,2,1,TA,Typ,0,Detchd,2,TA,48,112,0,GdPrv,WD,Normal,132000
17,NA,11241,IR1,1Story,6,7,1970,1970,180,1004,Y,1004,0,1004,1,1,0,2,1,TA,Typ,1,Attchd,2,TA,0,0,0,NA,WD,Normal,149000
18,72,10791,Reg,1Story,4,5,1967,1967,0,0,Y,1296,0,1296,0,2,0,2,2,TA,Typ,0,CarPort,2,TA,0,0,0,NA,WD,Normal,90000
19,66,13695,Reg,1Story,5,5,2004,2004,0,1114,Y,1114,0,1114,1,1,1,3,1,Gd,Typ,0,Detchd,2,TA,0,102,0,NA,WD,Normal,159000
20,70,7560,Reg,1Story,5,6,1958,1965,0,1029,Y,1339,0,1339,0,1,0,3,1,TA,Min1,0,Attchd,1,TA,0,0,0,MnPrv,COD,Abnorml,139000
21,101,14215,IR1,2Story,8,5,2005,2006,380,1158,Y,1158,1218,2376,0,3,1,4,1,Gd,Typ,1,BuiltIn,3,TA,240,154,0,NA,New,Partial,325300
22,57,7449,Reg,1.5Unf,7,7,1930,1950,0,637,Y,1108,0,1108,0,1,0,3,1,Gd,Typ,1,Attchd,1,TA,0,0,0,GdPrv,WD,Normal,139400
23,75,9742,Reg,1Story,8,5,2002,2002,281,1777,Y,1795,0,1795,0,2,0,3,1,Gd,Typ,1,Attchd,2,TA,171,159,0,NA,WD,Normal,230000
24,44,4224,Reg,1Story,5,7,1976,1976,0,1040,Y,1060,0,1060,1,1,0,3,1,TA,Typ,1,Attchd,2,TA,100,110,0,NA,WD,Normal,129900
25,NA,8246,IR1,1Story,5,8,1968,2001,0,1060,Y,1060,0,1060,1,1,0,3,1,Gd,Typ,1,Attchd,1,TA,406,90,0,MnPrv,WD,Normal,154000
26,110,14230,Reg,1Story,8,5,2007,2007,640,1566,Y,1600,0,1600,0,2,0,3,1,Gd,Typ,1,Attchd,3,TA,0,56,0,NA,WD,Normal,256300
27,60,7200,Reg,1Story,5,7,1951,2000,0,900,Y,900,0,900,0,1,0,3,1,Gd,Typ,0,Detchd,2,TA,222,32,0,NA,WD,Normal,134800
28,98,11478,Reg,1Story,8,5,2007,2008,200,1704,Y,1704,0,1704,1,2,0,3,1,Gd,Typ,1,Attchd,3,TA,0,50,0,NA,WD,Normal,306000
29,47,16321,IR1,1Story,5,6,1957,1997,0,1484,Y,1600,0,1600,1,1,0,2,1,TA,Typ,2,Attchd,1,TA,288,258,0,NA,WD,Normal,207500
30,60,6324,IR1,1Story,4,6,1927,1950,0,520,N,520,0,520,0,1,0,1,1,Fa,Typ,0,Detchd,1,Fa,49,0,0,NA,WD,Normal,68500
31,50,8500,Reg,2Story,4,4,1920,1950,0,649,N,649,668,1317,0,1,0,3,1,TA,Typ,0,Detchd,1,TA,0,54,0,MnPrv,WD,Normal,40000
32,NA,8544,IR1,1Story,5,6,1966,2006,0,1228,Y,1228,0,1228,0,1,1,3,1,Gd,Typ,0,Attchd,1,TA,0,65,0,MnPrv,WD,Normal,149350
33,85,11049,Reg,1Story,8,5,2007,2007,0,1234,Y,1234,0,1234,0,2,0,3,1,Gd,Typ,0,Attchd,2,TA,0,30,0,NA,WD,Normal,179900
34,70,10552,IR1,1Story,5,5,1959,1959,0,1398,Y,1700,0,1700,0,1,1,4,1,Gd,Typ,1,Attchd,2,TA,0,38,0,NA,WD,Normal,165500
35,60,7313,Reg,1Story,9,5,2005,2005,246,1561,Y,1561,0,1561,1,2,0,2,1,Ex,Typ,1,Attchd,2,TA,203,47,0,NA,WD,Normal,277500
36,108,13418,Reg,2Story,8,5,2004,2005,132,1117,Y,1132,1320,2452,0,3,1,4,1,Gd,Typ,1,BuiltIn,3,TA,113,32,0,NA,WD,Normal,309000
37,112,10859,Reg,1Story,5,5,1994,1995,0,1097,Y,1097,0,1097,0,1,1,3,1,TA,Typ,0,Attchd,2,TA,392,64,0,NA,WD,Normal,145000
38,74,8532,Reg,1Story,5,6,1954,1990,650,1297,Y,1297,0,1297,0,1,0,3,1,TA,Typ,1,Attchd,2,TA,0,0,0,NA,WD,Normal,153000
39,68,7922,Reg,1Story,5,7,1953,2007,0,1057,Y,1057,0,1057,1,1,0,3,1,Gd,Typ,0,Detchd,1,TA,0,52,0,NA,WD,Abnorml,109000
40,65,6040,Reg,1Story,4,5,1955,1955,0,0,N,1152,0,1152,0,2,0,2,2,Fa,Typ,0,NA,0,NA,0,0,0,NA,WD,AdjLand,82000
41,84,8658,Reg,1Story,6,5,1965,1965,101,1088,Y,1324,0,1324,0,2,0,3,1,TA,Typ,1,Attchd,2,TA,0,138,0,GdWo,WD,Abnorml,160000
42,115,16905,Reg,1Story,5,6,1959,1959,0,1350,Y,1328,0,1328,0,1,1,2,1,TA,Typ,2,Attchd,1,TA,0,104,0,NA,WD,Normal,170000
43,NA,9180,IR1,SFoyer,5,7,1983,1983,0,840,Y,884,0,884,1,1,0,2,1,Gd,Typ,0,Attchd,2,TA,240,0,0,MnPrv,WD,Normal,144000
44,NA,9200,IR1,1Story,5,6,1975,1980,0,938,Y,938,0,938,1,1,0,3,1,TA,Typ,0,Detchd,1,TA,145,0,0,MnPrv,WD,Normal,130250
45,70,7945,Reg,1Story,5,6,1959,1959,0,1150,Y,1150,0,1150,1,1,0,3,1,TA,Typ,0,Attchd,1,TA,0,0,0,NA,WD,Normal,141000
46,61,7658,Reg,1Story,9,5,2005,2005,412,1752,Y,1752,0,1752,1,2,0,2,1,Ex,Typ,1,Attchd,2,TA,196,82,0,NA,WD,Normal,319900
47,48,12822,IR1,1.5Fin,7,5,2003,2003,0,1434,Y,1518,631,2149,1,1,1,1,1,Gd,Typ,1,Attchd,2,TA,168,43,0,NA,WD,Abnorml,239686
48,84,11096,Reg,1Story,8,5,2006,2006,0,1656,Y,1656,0,1656,0,2,0,3,1,Gd,Typ,0,Attchd,3,TA,0,146,0,NA,WD,Normal,249700
49,33,4456,Reg,2Story,4,5,1920,2008,0,736,Y,736,716,1452,0,2,0,2,3,TA,Typ,0,NA,0,NA,0,0,0,NA,New,Partial,113000
50,66,7742,Reg,1Story,5,7,1966,1966,0,955,Y,955,0,955,1,1,0,3,1,TA,Typ,0,Attchd,1,TA,0,0,0,MnPrv,WD,Normal,127000
51,NA,13869,IR2,2Story,6,6,1997,1997,0,794,Y,794,676,1470,0,2,0,3,1,TA,Typ,0,Attchd,2,TA,0,75,0,NA,WD,Normal,177000
52,52,6240,Reg,1.5Fin,6,6,1934,1950,0,816,Y,816,0,1176,0,1,0,3,1,TA,Typ,1,Detchd,2,TA,112,0,0,MnPrv,WD,Normal,114500
53,110,8472,IR2,1Story,5,5,1963,1963,0,816,N,816,0,816,1,1,0,2,1,TA,Typ,0,CarPort,2,TA,106,0,0,NA,WD,Normal,110000
54,68,50271,IR1,1Story,9,5,1981,1987,0,1842,Y,1842,0,1842,2,0,1,0,1,Gd,Typ,1,Attchd,3,TA,857,72,0,NA,WD,Normal,385000
55,60,7134,Reg,SLvl,5,5,1955,1955,0,384,Y,1360,0,1360,0,1,0,3,1,TA,Min1,1,Detchd,2,TA,0,50,0,MnPrv,WD,Normal,130000
56,100,10175,IR1,1Story,6,5,1964,1964,272,1425,Y,1425,0,1425,0,2,0,3,1,TA,Typ,1,Attchd,2,TA,0,0,0,NA,WD,Normal,180500
57,24,2645,Reg,2Story,8,5,1999,2000,456,970,Y,983,756,1739,1,2,1,3,1,Gd,Typ,0,Attchd,2,TA,115,0,0,NA,WD,Abnorml,172500
58,89,11645,IR1,2Story,7,5,2004,2004,0,860,Y,860,860,1720,0,2,1,3,1,Gd,Typ,0,Attchd,2,TA,0,70,0,NA,WD,Normal,196500
59,66,13682,IR2,2Story,10,5,2006,2006,1031,1410,Y,1426,1519,2945,0,3,1,3,1,Gd,Typ,1,BuiltIn,3,TA,192,0,0,NA,New,Partial,438780
60,60,7200,Reg,1Story,5,7,1972,1972,0,780,Y,780,0,780,0,1,0,2,1,TA,Typ,0,Detchd,1,TA,196,0,0,MnPrv,WD,Normal,124900
61,63,13072,Reg,1Story,6,5,2004,2004,0,1158,Y,1158,0,1158,1,1,1,3,1,Gd,Typ,0,Detchd,2,TA,0,50,0,NA,New,Partial,158000
62,60,7200,Reg,2.5Unf,5,7,1920,1996,0,530,N,581,530,1111,0,1,0,3,1,Fa,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,101000
63,44,6442,IR1,1Story,8,5,2006,2006,178,1370,Y,1370,0,1370,0,2,0,2,1,Gd,Typ,1,Attchd,2,TA,120,49,0,NA,WD,Normal,202500
64,50,10300,IR1,2Story,7,6,1921,1950,0,576,Y,902,808,1710,0,2,0,3,1,TA,Typ,0,Detchd,2,TA,12,11,0,GdPrv,WD,Normal,140000
65,NA,9375,Reg,2Story,7,5,1997,1998,573,1057,Y,1057,977,2034,1,2,1,3,1,Gd,Typ,0,Attchd,2,TA,576,36,0,GdPrv,WD,Normal,219500
66,76,9591,Reg,2Story,8,5,2004,2005,344,1143,Y,1143,1330,2473,0,2,1,4,1,Gd,Typ,1,BuiltIn,3,TA,192,151,0,NA,WD,Normal,317000
67,NA,19900,Reg,1Story,7,5,1970,1989,287,1947,Y,2207,0,2207,1,2,0,3,1,TA,Min1,1,Attchd,2,TA,301,0,0,NA,WD,Normal,180000
68,72,10665,IR1,1Story,7,5,2003,2003,167,1453,Y,1479,0,1479,1,2,0,3,1,Gd,Typ,0,Attchd,2,TA,144,29,0,NA,WD,Normal,226000
69,47,4608,Reg,1Story,4,6,1945,1950,0,747,Y,747,0,747,0,1,0,2,1,TA,Typ,0,Attchd,1,TA,0,0,0,NA,WD,Normal,80000
70,81,15593,Reg,1.5Fin,7,4,1953,1953,0,1304,Y,1304,983,2287,0,2,0,3,1,TA,Typ,1,Attchd,2,TA,0,21,0,NA,WD,Normal,225000
71,95,13651,IR1,1Story,7,6,1973,1973,1115,2223,Y,2223,0,2223,1,2,0,3,1,TA,Typ,2,Attchd,2,TA,300,0,0,NA,WD,Normal,244000
72,69,7599,Reg,1Story,4,6,1982,2006,0,845,Y,845,0,845,1,1,0,2,1,TA,Typ,0,Detchd,2,TA,0,0,0,NA,WD,Normal,129500
73,74,10141,IR1,2Story,7,5,1998,1998,40,832,Y,885,833,1718,0,2,1,3,1,TA,Typ,1,Attchd,2,TA,0,94,0,NA,WD,Normal,185000
74,85,10200,Reg,1Story,5,7,1954,2003,104,1086,Y,1086,0,1086,1,1,0,3,1,TA,Typ,0,Attchd,2,TA,0,0,0,GdWo,WD,Normal,144900
75,60,5790,Reg,2Story,3,6,1915,1950,0,840,N,840,765,1605,0,2,0,3,2,TA,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,107400
76,21,1596,Reg,SLvl,4,5,1973,1973,0,462,Y,526,462,988,1,1,0,2,1,TA,Typ,0,BuiltIn,1,TA,120,101,0,GdWo,WD,Normal,91000
77,NA,8475,IR1,1Story,4,7,1956,1956,0,952,Y,952,0,952,0,1,0,2,1,TA,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,135750
78,50,8635,Reg,1.5Fin,5,5,1948,2001,0,672,Y,1072,213,1285,1,1,0,2,1,TA,Min1,0,Detchd,1,TA,0,0,0,MnPrv,WD,Normal,127000
79,72,10778,Reg,1Story,4,5,1968,1968,0,1768,N,1768,0,1768,0,2,0,4,2,TA,Typ,0,NA,0,NA,0,0,0,NA,WD,Normal,136500
80,60,10440,Reg,2Story,5,6,1910,1981,0,440,Y,682,548,1230,0,1,1,2,1,TA,Typ,0,Detchd,2,TA,74,0,0,MnPrv,WD,Normal,110000
81,100,13000,Reg,2Story,6,6,1968,1968,576,896,Y,1182,960,2142,0,2,1,4,1,Gd,Typ,1,Attchd,1,TA,0,72,0,NA,WD,Normal,193500
82,32,4500,Reg,1Story,6,5,1998,1998,443,1237,Y,1337,0,1337,1,2,0,2,1,TA,Typ,0,Attchd,2,TA,0,199,0,NA,WD,Normal,153500
83,78,10206,Reg,1Story,8,5,2007,2007,468,1563,Y,1563,0,1563,0,2,0,3,1,Gd,Typ,1,Attchd,3,TA,144,99,0,NA,WD,Normal,245000
84,80,8892,IR1,1Story,5,5,1960,1960,66,1065,Y,1065,0,1065,0,1,1,3,1,TA,Typ,0,Detchd,2,TA,74,0,0,NA,COD,Normal,126500
85,NA,8530,IR1,SLvl,7,5,1995,1996,22,384,Y,804,670,1474,0,2,1,3,1,TA,Typ,1,BuiltIn,2,TA,120,72,0,NA,WD,Normal,168500
86,121,16059,Reg,2Story,8,5,1991,1992,284,1288,Y,1301,1116,2417,0,2,1,4,1,Gd,Typ,1,Attchd,2,TA,127,82,0,NA,WD,Normal,260000
87,122,11911,IR2,2Story,6,5,2005,2005,0,684,Y,684,876,1560,0,2,1,3,1,Gd,Typ,1,BuiltIn,2,TA,100,38,0,NA,WD,Normal,174000
88,40,3951,Reg,2Story,6,5,2009,2009,76,612,Y,612,612,1224,0,2,1,2,1,Gd,Typ,0,Detchd,2,TA,0,234,0,NA,New,Partial,164500
89,105,8470,IR1,1.5Fin,3,2,1915,1982,0,1013,N,1013,0,1526,0,1,0,2,1,Fa,Typ,0,NA,0,NA,0,0,0,MnPrv,ConLD,Abnorml,85000
90,60,8070,Reg,1Story,4,5,1994,1995,0,990,Y,990,0,990,1,1,0,3,1,TA,Typ,0,NA,0,NA,0,0,0,NA,WD,Normal,123600
91,60,7200,Reg,1Story,4,5,1950,1950,0,0,Y,1040,0,1040,0,1,0,2,1,TA,Typ,0,Detchd,2,TA,0,29,0,NA,WD,Normal,109900
92,85,8500,Reg,1Story,5,3,1961,1961,203,1235,Y,1235,0,1235,0,1,0,2,1,TA,Typ,0,Attchd,2,TA,0,0,0,GdWo,WD,Abnorml,98600
93,80,13360,IR1,1Story,5,7,1921,2006,0,876,Y,964,0,964,1,1,0,2,1,TA,Typ,0,Detchd,2,TA,0,0,0,NA,WD,Normal,163500
94,60,7200,Reg,2.5Unf,6,6,1910,1998,0,1214,N,1260,1031,2291,0,2,0,4,2,TA,Typ,1,Detchd,2,TA,0,0,0,NA,WD,Normal,133900
95,69,9337,IR1,2Story,6,5,1997,1997,0,824,Y,905,881,1786,1,2,1,3,1,Gd,Typ,0,Attchd,2,TA,0,162,0,NA,WD,Normal,204750
96,NA,9765,IR2,2Story,6,8,1993,1993,68,680,Y,680,790,1470,0,2,1,3,1,TA,Typ,1,BuiltIn,2,TA,232,63,0,NA,WD,Normal,185000
97,78,10264,IR1,1Story,7,5,1999,1999,183,1588,Y,1588,0,1588,0,2,0,3,1,Gd,Typ,0,Attchd,2,TA,158,29,0,NA,WD,Normal,214000
98,73,10921,Reg,1Story,4,5,1965,1965,48,960,Y,960,0,960,1,1,0,3,1,TA,Typ,0,Attchd,1,TA,120,0,0,NA,WD,Normal,94750
99,85,10625,Reg,1Story,5,5,1920,1950,0,458,N,835,0,835,0,1,0,2,1,TA,Typ,0,Basment,1,Fa,0,0,0,NA,COD,Abnorml,83000
100,77,9320,IR1,1Story,4,5,1959,1959,0,950,Y,1225,0,1225,1,1,1,3,1,TA,Typ,0,NA,0,NA,352,0,0,NA,WD,Normal,128950
101,NA,10603,IR1,1Story,6,7,1977,2001,28,1610,Y,1610,0,1610,1,2,0,3,1,Gd,Typ,2,Attchd,2,TA,168,68,0,NA,WD,Normal,205000
102,77,9206,Reg,2Story,6,5,1985,1985,336,741,Y,977,755,1732,0,2,1,3,1,Gd,Typ,1,Attchd,2,TA,192,46,0,NA,WD,Normal,178000
103,64,7018,Reg,1Story,5,5,1979,1979,0,0,Y,1535,0,1535,0,2,0,4,2,TA,Typ,0,Attchd,2,TA,0,0,0,NA,WD,Alloca,118964
104,94,10402,IR1,1Story,7,5,2009,2009,0,1226,Y,1226,0,1226,0,2,0,3,1,Gd,Typ,0,Attchd,3,TA,0,36,0,NA,WD,Normal,198900
105,NA,7758,Reg,1.5Fin,7,4,1931,1950,600,1040,Y,1226,592,1818,0,1,1,4,1,TA,Typ,2,Detchd,1,TA,0,0,0,NA,WD,Normal,169500
106,75,9375,Reg,2Story,8,5,2003,2004,768,1053,Y,1053,939,1992,0,2,1,3,1,Gd,Typ,1,Attchd,2,TA,140,45,0,NA,WD,Normal,250000
107,60,10800,Reg,1Story,4,7,1885,1995,0,641,Y,1047,0,1047,0,1,0,2,1,TA,Typ,0,Detchd,1,Fa,0,0,0,NA,WD,Normal,100000
108,50,6000,Reg,1Story,5,5,1948,1950,0,789,Y,789,0,789,0,1,0,2,1,TA,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Partial,115000
109,85,8500,Reg,1.5Fin,5,7,1919,2005,0,793,N,997,520,1517,0,2,0,3,1,Fa,Typ,0,NA,0,NA,0,0,0,NA,WD,Normal,115000
110,105,11751,IR1,1Story,6,6,1977,1977,480,1844,Y,1844,0,1844,0,2,0,3,1,TA,Typ,1,Attchd,2,TA,0,122,0,MnPrv,COD,Normal,190000
111,75,9525,Reg,1.5Fin,6,4,1954,1972,0,994,Y,1216,639,1855,0,2,0,4,1,TA,Typ,0,Attchd,1,TA,182,0,0,NA,WD,Normal,136900
112,NA,7750,IR1,SLvl,7,5,2000,2000,0,384,Y,774,656,1430,0,2,1,3,1,TA,Typ,1,BuiltIn,2,TA,180,0,0,NA,WD,Normal,180000
113,77,9965,Reg,2Story,7,5,2007,2007,220,1264,Y,1282,1414,2696,1,2,1,4,1,Ex,Typ,1,BuiltIn,3,TA,120,184,0,NA,New,Partial,383970
114,NA,21000,Reg,1Story,6,5,1953,1953,184,1809,Y,2259,0,2259,1,2,0,3,1,Gd,Typ,2,Basment,2,TA,166,120,0,MnPrv,COD,Abnorml,217000
115,61,7259,IR1,2Story,6,8,1945,2002,0,1028,Y,1436,884,2320,1,2,1,3,1,Gd,Typ,1,Detchd,1,TA,224,0,0,MnPrv,WD,Normal,259500
116,34,3230,Reg,2Story,6,5,1999,1999,1129,729,Y,729,729,1458,0,2,1,2,1,TA,Typ,1,Detchd,2,TA,0,32,0,NA,WD,Normal,176000
117,NA,11616,Reg,1Story,5,5,1962,1962,116,1092,Y,1092,0,1092,0,1,0,3,1,TA,Typ,1,Attchd,1,TA,0,20,0,NA,WD,Normal,139000
118,74,8536,Reg,1Story,5,5,2006,2007,0,1125,Y,1125,0,1125,0,1,1,2,1,TA,Typ,0,Attchd,2,TA,80,64,0,NA,New,Partial,155000
119,90,12376,Reg,2Story,7,5,1990,1990,0,1673,Y,1699,1523,3222,1,3,0,5,1,Gd,Typ,2,Attchd,3,TA,367,0,0,NA,WD,Normal,320000
120,65,8461,Reg,2Story,6,5,2005,2006,0,728,Y,728,728,1456,0,2,1,3,1,Gd,Typ,1,Attchd,2,TA,0,24,0,NA,New,Partial,163990
121,NA,21453,IR1,SLvl,6,5,1969,1969,0,938,Y,988,0,988,1,1,0,1,1,TA,Typ,2,Attchd,2,TA,0,130,0,NA,WD,Normal,180000
122,50,6060,Reg,1.5Fin,4,5,1939,1950,0,732,Y,772,351,1123,0,1,0,3,1,TA,Typ,0,Detchd,1,TA,0,0,0,MnPrv,WD,Normal,100000
123,75,9464,Reg,1Story,6,7,1958,1958,135,1080,Y,1080,0,1080,0,1,0,3,1,TA,Typ,0,Attchd,1,TA,0,0,0,NA,WD,Normal,136000
124,55,7892,Reg,1Story,6,5,1993,1993,0,1199,Y,1199,0,1199,0,2,0,2,1,Gd,Typ,0,Attchd,2,TA,0,63,0,NA,WD,Normal,153900
125,48,17043,IR1,1Story,6,5,1979,1998,0,1362,Y,1586,0,1586,0,2,0,3,1,TA,Typ,1,Attchd,2,TA,192,0,0,NA,WD,Normal,181000
126,60,6780,Reg,1.5Fin,6,8,1935,1982,0,520,N,520,0,754,1,1,0,2,1,TA,Typ,0,NA,0,NA,53,0,0,NA,WD,Normal,84500
127,NA,4928,IR1,1Story,6,5,1976,1976,0,1078,Y,958,0,958,0,2,0,2,1,TA,Typ,1,Attchd,2,TA,0,205,0,NA,WD,Normal,128000
128,55,4388,IR1,1.5Unf,5,7,1930,1950,0,672,Y,840,0,840,0,1,0,3,1,TA,Typ,1,NA,0,NA,0,0,0,NA,WD,Normal,87000
129,69,7590,Reg,2Story,6,5,1966,1966,266,660,Y,660,688,1348,0,1,1,3,1,TA,Typ,1,Attchd,2,TA,188,108,0,NA,WD,Normal,155000
130,69,8973,Reg,1Story,5,7,1958,1991,85,1008,Y,1053,0,1053,0,1,1,3,1,Ex,Typ,0,2Types,2,TA,0,80,0,MnWw,WD,Abnorml,150000
131,88,14200,Reg,2Story,7,6,1966,1966,309,924,Y,1216,941,2157,0,2,1,4,1,Gd,Typ,2,Attchd,2,TA,105,66,0,GdPrv,WD,Normal,226000
132,NA,12224,IR1,2Story,6,5,2000,2000,40,992,Y,1022,1032,2054,1,2,1,3,1,Gd,Typ,1,BuiltIn,2,TA,24,48,0,NA,WD,Normal,244000
133,75,7388,Reg,1Story,5,6,1959,2002,0,1063,Y,1327,0,1327,1,1,0,3,1,Gd,Typ,0,Detchd,2,TA,0,0,0,NA,WD,Normal,150750
134,NA,6853,IR1,1Story,8,5,2001,2002,136,1267,Y,1296,0,1296,1,2,0,2,1,Gd,Typ,0,Attchd,2,TA,192,25,0,NA,WD,Normal,220000
135,78,10335,IR1,1Story,5,6,1968,1993,0,1461,Y,1721,0,1721,0,2,1,3,1,TA,Min1,1,Attchd,2,TA,0,96,0,MnPrv,WD,Normal,180000
136,80,10400,Reg,1Story,7,6,1970,1970,288,1304,Y,1682,0,1682,0,2,0,3,1,TA,Typ,1,Attchd,2,TA,98,0,0,MnPrv,WD,Normal,174000
137,NA,10355,IR1,1Story,5,5,1967,1967,196,1214,Y,1214,0,1214,0,2,0,3,1,TA,Typ,1,Attchd,1,TA,0,111,0,NA,WD,Normal,143000
138,82,11070,Reg,1Story,7,5,1988,1989,70,1907,Y,1959,0,1959,0,3,0,5,2,TA,Typ,0,2Types,3,TA,0,0,0,NA,WD,Family,171000
139,73,9066,IR1,2Story,8,5,1999,2000,320,1004,Y,1004,848,1852,0,2,1,3,1,Gd,Typ,2,Attchd,3,TA,224,106,0,GdPrv,WD,Normal,230000
140,65,15426,IR1,2Story,6,5,1997,1997,0,928,Y,928,836,1764,1,2,1,3,1,Gd,Typ,0,Attchd,2,TA,276,99,0,MnPrv,WD,Normal,231500
141,70,10500,Reg,1Story,4,5,1971,1971,0,864,Y,864,0,864,0,1,0,3,1,TA,Typ,1,NA,0,NA,0,0,0,NA,ConLI,Normal,115000
142,78,11645,Reg,1Story,7,5,2005,2005,0,1734,Y,1734,0,1734,1,2,0,3,1,Gd,Typ,0,Attchd,2,TA,160,24,0,NA,WD,Normal,260000
143,71,8520,Reg,1.5Fin,5,4,1952,1952,0,910,Y,910,475,1385,0,2,0,4,1,TA,Typ,0,Detchd,2,TA,0,0,0,MnPrv,WD,Normal,166000
144,78,10335,IR1,1Story,7,5,1999,1999,183,1490,Y,1501,0,1501,1,2,0,3,1,Gd,Typ,0,Attchd,2,TA,144,29,0,NA,WD,Normal,204000
145,70,9100,Reg,1Story,5,5,1963,1963,336,1728,Y,1728,0,1728,1,2,0,6,2,TA,Typ,0,Detchd,2,TA,0,0,0,NA,ConLI,Abnorml,125000
146,24,2522,Reg,2Story,6,5,2004,2006,50,970,Y,970,739,1709,0,2,0,3,1,Gd,Maj1,0,Detchd,2,TA,0,40,0,NA,WD,Normal,130000
147,51,6120,Reg,1Story,5,7,1931,1993,0,715,Y,875,0,875,1,1,0,2,1,TA,Typ,0,Detchd,1,Fa,48,0,0,NA,WD,Normal,105000
148,NA,9505,IR1,2Story,7,5,2001,2001,180,884,Y,884,1151,2035,0,2,1,3,1,Gd,Typ,1,BuiltIn,2,TA,144,48,0,NA,WD,Normal,222500
149,63,7500,Reg,1Story,7,5,2004,2005,120,1080,Y,1080,0,1080,1,1,0,3,1,Gd,Typ,0,NA,0,NA,0,0,0,NA,WD,Normal,141000
150,NA,6240,Reg,1.5Fin,5,4,1936,1950,0,896,Y,896,448,1344,0,1,0,3,1,TA,Typ,0,Detchd,1,Fa,200,114,0,NA,WD,Normal,115000
