Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,BsmtFinType2,BsmtFinSF2
26,20,RL,110,14230,Reg,Corner,NridgHt,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640,Gd,PConc,Gd,No,Unf,0,1566,1566,Ex,Unf,0
27,20,RL,60,7200,Reg,Corner,NAmes,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,Mn,BLQ,234,180,900,TA,Rec,486
28,20,RL,98,11478,Reg,Inside,NridgHt,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200,Gd,PConc,Ex,No,GLQ,1218,486,1704,Ex,Unf,0
29,20,RL,47,16321,IR1,CulDSac,NAmes,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,Gd,BLQ,1277,207,1484,TA,Unf,0
30,30,RM,60,6324,IR1,Inside,BrkSide,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,Unf,0,520,520,Fa,Unf,0
31,70,C (all),50,8500,Reg,Inside,IDOTRR,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0,TA,BrkTil,TA,No,Unf,0,649,649,TA,Unf,0
32,20,RL,NA,8544,IR1,CulDSac,Sawyer,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0,TA,CBlock,TA,No,Unf,0,1228,1228,Gd,Unf,0
33,20,RL,85,11049,Reg,Corner,CollgCr,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Ex,Av,Unf,0,1234,1234,Ex,Unf,0
34,20,RL,70,10552,IR1,Inside,NAmes,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0,TA,CBlock,TA,No,Rec,1018,380,1398,Gd,Unf,0
35,120,RL,60,7313,Reg,Inside,NridgHt,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246,Ex,PConc,Ex,No,GLQ,1153,408,1561,Ex,Unf,0
36,60,RL,108,13418,Reg,Inside,NridgHt,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132,Gd,PConc,Ex,Av,Unf,0,1117,1117,Ex,Unf,0
37,20,RL,112,10859,Reg,Corner,CollgCr,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,Unf,0,1097,1097,Ex,Unf,0
38,20,RL,74,8532,Reg,Inside,NAmes,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650,TA,CBlock,TA,No,Rec,1213,84,1297,Gd,Unf,0
39,20,RL,68,7922,Reg,Inside,NAmes,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0,TA,CBlock,TA,No,GLQ,731,326,1057,TA,Unf,0
40,90,RL,65,6040,Reg,Inside,Edwards,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0,TA,PConc,NA,NA,NA,0,0,0,TA,NA,0
41,20,RL,84,8658,Reg,Inside,NAmes,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101,TA,CBlock,TA,No,Rec,643,445,1088,Ex,Unf,0
42,20,RL,115,16905,Reg,Inside,Timber,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0,TA,CBlock,TA,Gd,BLQ,967,383,1350,Gd,Unf,0
43,85,RL,NA,9180,IR1,CulDSac,SawyerW,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0,TA,CBlock,Gd,Av,ALQ,747,0,840,Gd,LwQ,93
44,20,RL,NA,9200,IR1,CulDSac,CollgCr,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,0,TA,CBlock,Gd,Av,LwQ,280,167,938,TA,BLQ,491
45,20,RL,70,7945,Reg,Inside,NAmes,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0,TA,CBlock,TA,No,ALQ,179,465,1150,Ex,BLQ,506
46,120,RL,61,7658,Reg,Inside,NridgHt,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412,Ex,PConc,Ex,No,GLQ,456,1296,1752,Ex,Unf,0
47,50,RL,48,12822,IR1,CulDSac,Mitchel,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Ex,No,GLQ,1351,83,1434,Ex,Unf,0
48,20,FV,84,11096,Reg,Inside,Somerst,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,Av,GLQ,24,1632,1656,Ex,Unf,0
49,190,RM,33,4456,Reg,Inside,OldTown,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,Unf,0,736,736,Gd,Unf,0
50,20,RL,66,7742,Reg,Inside,Sawyer,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0,TA,CBlock,TA,No,BLQ,763,192,955,Ex,Unf,0
51,60,RL,NA,13869,IR2,Corner,Gilbert,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,Av,GLQ,182,612,794,Gd,Unf,0
52,50,RM,52,6240,Reg,Inside,BrkSide,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,PConc,TA,No,Unf,0,816,816,TA,Unf,0
53,90,RM,110,8472,IR2,Corner,IDOTRR,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,0,Fa,CBlock,Gd,Gd,LwQ,104,0,816,TA,GLQ,712
54,20,RL,68,50271,IR1,Inside,Veenker,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,None,0,Gd,CBlock,Ex,Gd,GLQ,1810,32,1842,Gd,Unf,0
55,80,RL,60,7134,Reg,Inside,NAmes,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,ALQ,384,0,384,TA,Unf,0
56,20,RL,100,10175,IR1,Inside,NAmes,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272,TA,CBlock,TA,No,BLQ,490,935,1425,Gd,Unf,0
57,160,FV,24,2645,Reg,Inside,Somerst,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456,Gd,PConc,Gd,No,GLQ,649,321,970,Ex,Unf,0
58,60,RL,89,11645,IR1,Corner,CollgCr,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,Unf,0,860,860,Ex,Unf,0
59,60,RL,66,13682,IR2,CulDSac,StoneBr,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031,Ex,PConc,Ex,Gd,Unf,0,1410,1410,Ex,Unf,0
60,20,RL,60,7200,Reg,Inside,CollgCr,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,None,0,TA,CBlock,TA,Av,ALQ,632,148,780,Ex,Unf,0
61,20,RL,63,13072,Reg,Inside,SawyerW,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,ALQ,941,217,1158,Ex,Unf,0
62,75,RM,60,7200,Reg,Inside,IDOTRR,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,Unf,0,530,530,TA,Unf,0
63,120,RL,44,6442,IR1,Inside,NridgHt,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,178,Gd,PConc,Gd,Mn,GLQ,24,1346,1370,Ex,Unf,0
64,70,RM,50,10300,IR1,Inside,OldTown,2Story,7,6,1921,1950,Gable,Stucco,Stucco,None,0,TA,BrkTil,TA,No,Unf,0,576,576,Gd,Unf,0
65,60,RL,NA,9375,Reg,Inside,CollgCr,2Story,7,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,573,TA,PConc,Gd,No,GLQ,739,318,1057,Ex,Unf,0
66,60,RL,76,9591,Reg,Inside,NridgHt,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,344,Gd,PConc,Ex,Av,Unf,0,1143,1143,Ex,Unf,0
67,20,RL,NA,19900,Reg,Inside,NAmes,1Story,7,5,1970,1989,Gable,Plywood,Plywood,BrkFace,287,TA,CBlock,Gd,Gd,GLQ,912,1035,1947,TA,Unf,0
68,20,RL,72,10665,IR1,Inside,CollgCr,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,167,Gd,PConc,Gd,Av,GLQ,1013,440,1453,Ex,Unf,0
69,30,RM,47,4608,Reg,Corner,OldTown,1Story,4,6,1945,1950,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,Unf,0,747,747,TA,Unf,0
70,50,RL,81,15593,Reg,Corner,ClearCr,1.5Fin,7,4,1953,1953,Gable,BrkFace,AsbShng,None,0,Gd,CBlock,TA,No,BLQ,603,701,1304,TA,Unf,0
71,20,RL,95,13651,IR1,Inside,NAmes,1Story,7,6,1973,1973,Gable,Plywood,Plywood,BrkFace,1115,TA,CBlock,Gd,Gd,ALQ,1880,343,2223,Ex,Unf,0
72,20,RL,69,7599,Reg,Corner,Mitchel,1Story,4,6,1982,2006,Gable,HdBoard,Plywood,None,0,TA,CBlock,TA,No,ALQ,565,280,845,TA,Unf,0
73,60,RL,74,10141,IR1,Corner,Gilbert,2Story,7,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,40,TA,PConc,Gd,No,Unf,0,832,832,Gd,Unf,0
74,20,RL,85,10200,Reg,Inside,NAmes,1Story,5,7,1954,2003,Gable,Wd Sdng,Wd Sdng,BrkFace,104,TA,CBlock,TA,No,ALQ,320,404,1086,Gd,BLQ,362
75,50,RM,60,5790,Reg,Corner,OldTown,2Story,3,6,1915,1950,Gambrel,VinylSd,VinylSd,None,0,Gd,CBlock,Fa,No,Unf,0,840,840,Gd,Unf,0
76,180,RM,21,1596,Reg,Inside,MeadowV,SLvl,4,5,1973,1973,Gable,CemntBd,CmentBd,None,0,TA,CBlock,Gd,Gd,GLQ,462,0,462,TA,Unf,0
77,20,RL,NA,8475,IR1,Inside,NAmes,1Story,4,7,1956,1956,Gable,VinylSd,VinylSd,None,0,TA,CBlock,TA,No,ALQ,228,724,952,Ex,Unf,0
78,50,RM,50,8635,Reg,Inside,BrkSide,1.5Fin,5,5,1948,2001,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,No,BLQ,336,295,672,TA,GLQ,41
79,90,RL,72,10778,Reg,Inside,Sawyer,1Story,4,5,1968,1968,Hip,HdBoard,HdBoard,None,0,TA,CBlock,TA,No,Unf,0,1768,1768,TA,Unf,0
80,50,RM,60,10440,Reg,Corner,OldTown,2Story,5,6,1910,1981,Gable,Wd Sdng,Wd Sdng,None,0,TA,PConc,TA,No,Unf,0,440,440,Gd,Unf,0
81,60,RL,100,13000,Reg,Corner,NAmes,2Story,6,6,1968,1968,Gable,VinylSd,VinylSd,BrkFace,576,TA,CBlock,Gd,No,Rec,448,448,896,TA,Unf,0
82,120,RM,32,4500,Reg,FR2,Mitchel,1Story,6,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,443,TA,PConc,Ex,No,GLQ,1201,36,1237,Ex,Unf,0
83,20,RL,78,10206,Reg,Inside,Somerst,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,468,TA,PConc,Gd,No,GLQ,33,1530,1563,Ex,Unf,0
84,20,RL,80,8892,IR1,Inside,NAmes,1Story,5,5,1960,1960,Gable,MetalSd,MetalSd,BrkCmn,66,TA,CBlock,TA,No,Unf,0,1065,1065,Gd,Unf,0
85,80,RL,NA,8530,IR1,Inside,Gilbert,SLvl,7,5,1995,1996,Gable,HdBoard,HdBoard,BrkFace,22,TA,PConc,Gd,No,Unf,0,384,384,Gd,Unf,0
86,60,RL,121,16059,Reg,Corner,NoRidge,2Story,8,5,1991,1992,Hip,HdBoard,HdBoard,BrkFace,284,Gd,CBlock,Gd,No,Unf,0,1288,1288,Ex,Unf,0
87,60,RL,122,11911,IR2,Inside,Gilbert,2Story,6,5,2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,Av,Unf,0,684,684,Ex,Unf,0
88,160,FV,40,3951,Reg,Corner,Somerst,2Story,6,5,2009,2009,Gable,VinylSd,VinylSd,Stone,76,Gd,PConc,Gd,Av,Unf,0,612,612,Ex,Unf,0
89,50,C (all),105,8470,IR1,Corner,IDOTRR,1.5Fin,3,2,1915,1982,Hip,Plywood,Plywood,None,0,Fa,CBlock,TA,No,Unf,0,1013,1013,TA,Unf,0
90,20,RL,60,8070,Reg,Inside,CollgCr,1Story,4,5,1994,1995,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,GLQ,588,402,990,Ex,Unf,0
91,20,RL,60,7200,Reg,Inside,NAmes,1Story,4,5,1950,1950,Gable,BrkFace,Wd Sdng,None,0,TA,Slab,NA,NA,NA,0,0,0,TA,NA,0
92,20,RL,85,8500,Reg,Inside,NAmes,1Story,5,3,1961,1961,Hip,HdBoard,HdBoard,BrkCmn,203,TA,CBlock,TA,No,Rec,600,635,1235,TA,Unf,0
93,30,RL,80,13360,IR1,Inside,Crawfor,1Story,5,7,1921,2006,Gable,Wd Sdng,Wd Sdng,None,0,TA,BrkTil,Gd,No,ALQ,713,163,876,Ex,Unf,0
94,190,C (all),60,7200,Reg,Corner,OldTown,2.5Unf,6,6,1910,1998,Hip,MetalSd,MetalSd,None,0,TA,BrkTil,TA,Mn,Rec,1046,168,1214,Ex,Unf,0
95,60,RL,69,9337,IR1,Inside,CollgCr,2Story,6,5,1997,1997,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,GLQ,648,176,824,Ex,Unf,0
96,60,RL,NA,9765,IR2,Corner,Gilbert,2Story,6,8,1993,1993,Gable,VinylSd,VinylSd,BrkFace,68,Ex,PConc,Gd,No,ALQ,310,370,680,Gd,Unf,0
97,20,RL,78,10264,IR1,Inside,CollgCr,1Story,7,5,1999,1999,Gable,VinylSd,VinylSd,BrkFace,183,Gd,PConc,Gd,Av,ALQ,1162,426,1588,Ex,Unf,0
98,20,RL,73,10921,Reg,Inside,Edwards,1Story,4,5,1965,1965,Hip,HdBoard,HdBoard,BrkFace,48,TA,CBlock,TA,No,Rec,520,440,960,TA,Unf,0
99,30,RL,85,10625,Reg,Corner,Edwards,1Story,5,5,1920,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,BrkTil,TA,No,ALQ,108,350,458,Fa,Unf,0
100,20,RL,77,9320,IR1,Inside,NAmes,1Story,4,5,1959,1959,Gable,Plywood,Plywood,None,0,TA,CBlock,TA,No,ALQ,569,381,950,Fa,Unf,0
101,20,RL,NA,10603,IR1,Inside,NWAmes,1Story,6,7,1977,2001,Gable,Plywood,Plywood,BrkFace,28,TA,PConc,TA,Mn,ALQ,1200,410,1610,Gd,Unf,0
102,60,RL,77,9206,Reg,Inside,SawyerW,2Story,6,5,1985,1985,Gable,HdBoard,HdBoard,BrkFace,336,Gd,CBlock,Gd,No,Unf,0,741,741,TA,Unf,0
103,90,RL,64,7018,Reg,Inside,SawyerW,1Story,5,5,1979,1979,Gable,HdBoard,HdBoard,None,0,TA,Slab,NA,NA,NA,0,0,0,TA,NA,0
104,20,RL,94,10402,IR1,Corner,CollgCr,1Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,Unf,0,1226,1226,Ex,Unf,0
105,50,RM,NA,7758,Reg,Corner,IDOTRR,1.5Fin,7,4,1931,1950,Gable,Stucco,Stucco,BrkFace,600,TA,PConc,TA,No,LwQ,224,816,1040,Ex,Unf,0
106,60,FV,75,9375,Reg,Inside,Somerst,2Story,8,5,2003,2004,Hip,VinylSd,VinylSd,BrkFace,768,Gd,PConc,Ex,No,Unf,0,1053,1053,Ex,Unf,0
107,30,RM,60,10800,Reg,Inside,OldTown,1Story,4,7,1885,1995,Mansard,VinylSd,VinylSd,None,0,TA,BrkTil,Fa,No,Unf,0,641,641,Gd,Unf,0
108,20,RM,50,6000,Reg,Inside,OldTown,1Story,5,5,1948,1950,Gable,VinylSd,VinylSd,None,0,TA,CBlock,TA,No,ALQ,104,516,789,Ex,BLQ,169
109,50,RM,85,8500,Reg,Corner,IDOTRR,1.5Fin,5,7,1919,2005,Gable,CemntBd,CmentBd,None,0,TA,CBlock,TA,No,Unf,0,793,793,TA,Unf,0
110,20,RL,105,11751,IR1,Inside,NWAmes,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480,TA,CBlock,Gd,No,BLQ,705,1139,1844,Ex,Unf,0
111,50,RL,75,9525,Reg,Inside,Edwards,1.5Fin,6,4,1954,1972,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,No,Rec,444,550,994,Gd,Unf,0
112,80,RL,NA,7750,IR1,Inside,Gilbert,SLvl,7,5,2000,2000,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,GLQ,250,134,384,Ex,Unf,0
113,60,RL,77,9965,Reg,Inside,CollgCr,2Story,7,5,2007,2007,Gable,VinylSd,VinylSd,Stone,220,Gd,PConc,Ex,Av,GLQ,984,280,1264,Ex,Unf,0
114,20,RL,NA,21000,Reg,Corner,Crawfor,1Story,6,5,1953,1953,Hip,Wd Sdng,Wd Sdng,BrkFace,184,TA,CBlock,Gd,Mn,ALQ,35,905,1809,TA,Rec,869
115,70,RL,61,7259,IR1,Inside,Crawfor,2Story,6,8,1945,2002,Gambrel,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,No,ALQ,774,104,1028,Ex,LwQ,150
116,160,FV,34,3230,Reg,Corner,Somerst,2Story,6,5,1999,1999,Gable,MetalSd,MetalSd,BrkFace,1129,TA,PConc,Gd,No,GLQ,419,310,729,Gd,Unf,0
117,20,RL,NA,11616,Reg,Inside,Sawyer,1Story,5,5,1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,116,TA,CBlock,TA,No,LwQ,170,252,1092,TA,BLQ,670
118,20,RL,74,8536,Reg,Corner,Edwards,1Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,Unf,0,1125,1125,Gd,Unf,0
119,60,RL,90,12376,Reg,Corner,SawyerW,2Story,7,5,1990,1990,Hip,Plywood,Plywood,None,0,TA,PConc,Gd,Mn,GLQ,1470,203,1673,Gd,Unf,0
120,60,RL,65,8461,Reg,Inside,CollgCr,2Story,6,5,2005,2006,Gable,VinylSd,VinylSd,None,0,Gd,PConc,Gd,No,Unf,0,728,728,Ex,Unf,0
121,80,RL,NA,21453,IR1,CulDSac,ClearCr,SLvl,6,5,1969,1969,Flat,Plywood,Plywood,None,0,TA,CBlock,TA,Gd,ALQ,938,0,938,Ex,Unf,0
122,50,RM,50,6060,Reg,Inside,IDOTRR,1.5Fin,4,5,1939,1950,Gable,AsbShng,AsbShng,None,0,TA,PConc,TA,No,Unf,0,732,732,Gd,Unf,0
123,20,RL,75,9464,Reg,Corner,NAmes,1Story,6,7,1958,1958,Hip,MetalSd,MetalSd,BrkFace,135,TA,CBlock,TA,No,BLQ,570,510,1080,Gd,Unf,0
124,120,RL,55,7892,Reg,Inside,SawyerW,1Story,6,5,1993,1993,Gable,Plywood,Plywood,None,0,Gd,PConc,Gd,No,GLQ,300,899,1199,Ex,Unf,0
125,20,RL,48,17043,IR1,CulDSac,NWAmes,1Story,6,5,1979,1998,Gable,HdBoard,HdBoard,None,0,TA,CBlock,Gd,No,Unf,0,1362,1362,TA,Unf,0
126,190,RM,60,6780,Reg,Inside,IDOTRR,1.5Fin,6,8,1935,1982,Gable,Wd Sdng,Wd Sdng,None,0,TA,CBlock,TA,Av,GLQ,490,30,520,Gd,Unf,0
127,120,RL,NA,4928,IR1,Inside,NPkVill,1Story,6,5,1976,1976,Gable,Plywood,Plywood,None,0,TA,CBlock,Gd,No,ALQ,120,958,1078,TA,Unf,0
128,45,RM,55,4388,IR1,Inside,OldTown,1.5Unf,5,7,1930,1950,Gable,WdShing,Wd Sdng,None,0,TA,BrkTil,TA,No,LwQ,116,556,672,Ex,Unf,0
129,60,RL,69,7590,Reg,Inside,NAmes,2Story,6,5,1966,1966,Gable,VinylSd,VinylSd,BrkFace,266,TA,CBlock,TA,No,BLQ,512,148,660,TA,Unf,0
130,20,RL,69,8973,Reg,Inside,NAmes,1Story,5,7,1958,1991,Gable,Plywood,Plywood,BrkFace,85,TA,CBlock,TA,No,Rec,567,413,1008,TA,BLQ,28
131,60,RL,88,14200,Reg,Corner,NAmes,2Story,7,6,1966,1966,Gable,MetalSd,MetalSd,BrkFace,309,TA,CBlock,TA,No,Rec,445,479,924,Ex,Unf,0
132,60,RL,NA,12224,IR1,Corner,Gilbert,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,40,Gd,PConc,Gd,No,GLQ,695,297,992,Ex,Unf,0
133,20,RL,75,7388,Reg,Corner,NAmes,1Story,5,6,1959,2002,Gable,MetalSd,MetalSd,None,0,TA,CBlock,TA,No,Rec,405,658,1063,Gd,Unf,0
134,20,RL,NA,6853,IR1,Inside,Timber,1Story,8,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,136,Gd,PConc,Ex,No,GLQ,1005,262,1267,Ex,Unf,0
135,20,RL,78,10335,IR1,Inside,Sawyer,1Story,5,6,1968,1993,Gable,Plywood,Plywood,None,0,TA,CBlock,TA,No,Rec,570,891,1461,Gd,Unf,0
136,20,RL,80,10400,Reg,Inside,NWAmes,1Story,7,6,1970,1970,Hip,Plywood,Plywood,BrkFace,288,TA,PConc,TA,No,Unf,0,1304,1304,Gd,Unf,0
137,20,RL,NA,10355,IR1,Corner,NAmes,1Story,5,5,1967,1967,Gable,MetalSd,MetalSd,BrkFace,196,TA,CBlock,TA,No,BLQ,695,519,1214,TA,Unf,0
138,90,RL,82,11070,Reg,Inside,Mitchel,1Story,7,5,1988,1989,Gable,VinylSd,VinylSd,BrkFace,70,TA,CBlock,TA,No,Unf,0,1907,1907,Gd,Unf,0
139,60,RL,73,9066,IR1,Inside,CollgCr,2Story,8,5,1999,2000,Gable,VinylSd,VinylSd,BrkFace,320,Gd,PConc,Gd,Mn,GLQ,668,336,1004,Ex,Unf,0
